iter	Passed	Remaining
0	6	1382
1	11	1136
2	16	1071
3	20	990
4	23	931
5	27	889
6	31	860
7	35	849
8	39	827
9	42	808
10	46	802
11	50	789
12	53	775
13	57	768
14	64	793
15	67	779
16	71	766
17	75	759
18	78	750
19	82	741
20	85	730
21	89	724
22	94	724
23	97	716
24	101	707
25	104	698
26	108	694
27	111	687
28	115	680
29	119	675
30	123	671
31	126	665
32	130	658
33	133	653
34	137	650
35	141	645
36	145	639
37	148	633
38	152	631
39	157	629
40	161	626
41	164	619
42	168	614
43	172	610
44	175	604
45	178	598
46	182	595
47	187	592
48	191	590
49	195	585
50	198	580
51	202	576
52	206	571
53	210	568
54	214	565
55	219	563
56	222	559
57	226	554
58	230	549
59	233	545
60	237	541
61	239	532
62	243	529
63	247	526
64	249	518
65	253	514
66	257	510
67	261	507
68	265	503
69	269	501
70	273	497
71	278	494
72	282	491
73	285	486
74	289	482
75	293	479
76	297	475
77	301	471
78	305	467
79	308	463
80	314	461
81	318	457
82	321	453
83	325	449
84	329	446
85	333	442
86	337	438
87	342	435
88	345	431
89	349	427
90	352	422
91	356	418
92	361	415
93	364	411
94	368	407
95	373	404
96	378	401
97	381	397
98	385	393
99	389	389
100	393	385
101	397	381
102	401	378
103	406	374
104	410	371
105	415	368
106	419	364
107	423	360
108	426	356
109	430	352
110	434	348
111	438	344
112	442	340
113	446	336
114	450	332
115	454	329
116	459	325
117	463	321
118	467	318
119	472	314
120	478	312
121	482	308
122	486	304
123	491	301
124	496	297
125	500	293
126	505	290
127	510	286
128	514	283
129	521	280
130	526	277
131	529	273
132	534	269
133	538	265
134	542	261
135	546	257
136	552	253
137	557	250
138	561	246
139	565	242
140	570	238
141	574	234
142	577	230
143	582	226
144	587	223
145	593	219
146	597	215
147	602	211
148	607	207
149	611	203
150	617	200
151	621	196
152	626	192
153	631	188
154	638	185
155	643	181
156	649	177
157	654	173
158	659	170
159	666	166
160	670	162
161	674	158
162	679	154
163	683	150
164	690	146
165	695	142
166	699	138
167	704	134
168	708	130
169	713	125
170	718	121
171	722	117
172	727	113
173	732	109
174	736	105
175	743	101
176	750	97
177	755	93
178	761	89
179	766	85
180	771	80
181	777	76
182	783	72
183	788	68
184	794	64
185	799	60
186	804	55
187	812	51
188	818	47
189	824	43
190	828	39
191	833	34
192	844	30
193	856	26
194	864	22
195	870	17
196	873	13
197	879	8
198	888	4
199	895	0
